# 
# This CSV file is accompanying the paper Vida et al. (2018) "Modeling the measurement accuracy of 
# pre-atmosphere velocities of meteoroids".
# 
# The file contains fits of delta_v (in m/s) to the zenith angle (in radians) for every simulated observing 
# system:
#     0 - ASGARD-like allsky fireball system
#     1 - CAMS-like moderate FOV system
#     2 - CAMO-like image intensified narrow-field system
# 
# and for every simulated meteoroid type:
#     0 - cometary
#     1 - asteroidal
#     2 - iron
# 
# delta_v is the difference between the measured initial velocity and the true pre-atmosphere velocity. Thus if 
# one want to obtain the deceleration-corrected value of the initial velocity, the following expression can be 
# used:
# 
#     v_inf = v_init + delta_v
# 
# where delta_v and can be computed from the table below using the following expression:
# 
#     delta_v = x0 + x1*z + x2*z^2 + x3*z^3 + x4*z^4 + x5*z^5 + x6*z^6
# 
# Where z is the zenith angle in radians and coefficients x are listed below in the table. The table lists 
# discrete values of velocities and peak magnitudes for which the fits are valid. If one wants to compute 
# delta_v for a given meteor of known initial velocity, peak magnitude and zenith angle, a lookup for a 
# particular system, meteoroid type (can be guessed from the beginning height), velocity and peak magnitude has 
# to be performed. If one needs an estimate for delta_v for non-discrete values of velocity, linear 
# interpolation between two values of delta_v for neighbouring discrete values of velocities will provide a 
# sufficiently precise approximation.
# 
# System type;Meteoroid type;Velocity (m/s);Peak magnitude;x0;x1;x2;x3;x4;x5;x6
0;0;66000;-2.86;-2.286731e+01;1.975172e+01;-2.122874e+02;8.046333e+02;-1.454357e+03;1.208921e+03;-3.806593e+02
0;0;66000;-2.54;-2.776551e+01;2.850431e+01;-3.009325e+02;1.130343e+03;-2.030337e+03;1.690083e+03;-5.359927e+02
0;0;66000;-2.21;-3.527242e+01;3.906992e+01;-4.068271e+02;1.483484e+03;-2.537143e+03;1.989794e+03;-6.026254e+02
0;0;66000;-1.89;-3.527242e+01;3.906992e+01;-4.068271e+02;1.483484e+03;-2.537143e+03;1.989794e+03;-6.026254e+02
0;0;65000;-7.69;-3.992811e+00;3.463490e-01;-7.513786e+00;2.849551e+01;-4.538506e+01;3.238730e+01;-8.772694e+00
0;0;65000;-7.37;-4.267764e+00;-4.651426e-01;-2.793916e+00;2.171611e+01;-4.678354e+01;4.006493e+01;-1.226481e+01
0;0;65000;-7.05;-4.745445e+00;-4.209818e-01;-6.753609e-01;9.370431e+00;-2.387453e+01;2.243296e+01;-7.499411e+00
0;0;65000;-6.72;-5.055704e+00;-1.995586e-01;-6.066156e+00;3.064253e+01;-5.738468e+01;4.581264e+01;-1.362198e+01
0;0;65000;-6.40;-5.450192e+00;9.258530e-01;-9.140732e+00;3.024329e+01;-4.944428e+01;3.769007e+01;-1.124448e+01
0;0;65000;-6.08;-5.839404e+00;5.996736e-01;-7.349026e+00;2.714804e+01;-4.962649e+01;4.120099e+01;-1.322708e+01
0;0;65000;-5.75;-6.428829e+00;1.333350e+00;-1.765412e+01;7.409628e+01;-1.414007e+02;1.183708e+02;-3.652035e+01
0;0;65000;-5.43;-7.318496e+00;7.814827e-01;-1.133027e+01;4.260442e+01;-7.972646e+01;6.711034e+01;-2.161756e+01
0;0;65000;-5.11;-8.115658e+00;1.544087e+00;-1.502587e+01;5.210962e+01;-9.645684e+01;8.188571e+01;-2.669266e+01
0;0;65000;-4.79;-9.046904e+00;2.678415e+00;-2.966465e+01;1.028915e+02;-1.749477e+02;1.374763e+02;-4.182175e+01
0;0;65000;-4.46;-1.031709e+01;1.940969e+00;-2.454066e+01;9.379272e+01;-1.756016e+02;1.473324e+02;-4.709894e+01
0;0;65000;-4.14;-1.167368e+01;4.249624e+00;-4.293227e+01;1.456896e+02;-2.502656e+02;1.999629e+02;-6.206122e+01
0;0;65000;-3.82;-1.389219e+01;1.838927e+01;-1.769640e+02;6.215684e+02;-1.028396e+03;7.886475e+02;-2.297156e+02
0;0;65000;-3.49;-1.599996e+01;2.314353e+01;-2.208347e+02;7.764556e+02;-1.289079e+03;9.921792e+02;-2.898746e+02
0;0;65000;-3.17;-1.899733e+01;3.184121e+01;-2.997028e+02;1.050428e+03;-1.738138e+03;1.334201e+03;-3.887439e+02
0;0;65000;-2.85;-2.358274e+01;5.068618e+01;-4.605733e+02;1.553690e+03;-2.467896e+03;1.831799e+03;-5.234681e+02
0;0;65000;-2.53;-2.882772e+01;7.460253e+01;-6.809745e+02;2.305858e+03;-3.634568e+03;2.653547e+03;-7.405559e+02
0;0;65000;-2.20;-3.924734e+01;2.087644e+01;-2.493467e+02;9.789986e+02;-1.896614e+03;1.698000e+03;-5.824198e+02
0;0;65000;-1.88;-3.924734e+01;2.087644e+01;-2.493467e+02;9.789986e+02;-1.896614e+03;1.698000e+03;-5.824198e+02
0;0;64000;-7.68;-3.971691e+00;-1.520548e-01;-2.458358e+00;1.116590e+01;-2.052028e+01;1.662509e+01;-5.114647e+00
0;0;64000;-7.36;-4.547843e+00;2.160154e-01;-4.147667e-01;-1.401847e+00;2.323974e+00;-6.420119e-01;-4.995879e-01
0;0;64000;-7.04;-4.720963e+00;-1.252169e+00;7.539885e+00;-2.016540e+01;2.305144e+01;-1.132833e+01;1.500108e+00
0;0;64000;-6.71;-5.111121e+00;-4.655186e-01;5.758224e+00;-1.916920e+01;2.273275e+01;-1.057908e+01;9.790376e-01
0;0;64000;-6.39;-5.430923e+00;1.301163e-02;-4.512998e+00;1.655053e+01;-2.605587e+01;1.813210e+01;-5.243677e+00
0;0;64000;-6.07;-6.127345e+00;7.454510e-01;-9.186867e+00;3.144215e+01;-5.344296e+01;4.194346e+01;-1.288299e+01
0;0;64000;-5.75;-6.710604e+00;1.141973e+00;-1.177674e+01;4.118419e+01;-7.285314e+01;5.916784e+01;-1.850582e+01
0;0;64000;-5.42;-7.300288e+00;1.190670e+00;-1.384986e+01;4.886982e+01;-8.638681e+01;7.015947e+01;-2.205175e+01
0;0;64000;-5.10;-8.105807e+00;8.849998e-01;-1.264862e+01;4.830762e+01;-9.161783e+01;7.771321e+01;-2.521115e+01
0;0;64000;-4.78;-9.036664e+00;2.770906e+00;-3.010255e+01;1.038705e+02;-1.753525e+02;1.370559e+02;-4.148448e+01
0;0;64000;-4.45;-1.023071e+01;6.701737e+00;-6.294137e+01;2.145209e+02;-3.559743e+02;2.755447e+02;-8.183423e+01
0;0;64000;-4.13;-1.175243e+01;1.264499e+01;-1.227347e+02;4.380456e+02;-7.357558e+02;5.703406e+02;-1.673950e+02
0;0;64000;-3.81;-1.327946e+01;5.955473e+00;-7.397283e+01;2.934734e+02;-5.460987e+02;4.612115e+02;-1.468845e+02
0;0;64000;-3.49;-1.518162e+01;-7.266178e+00;5.828153e+01;-2.102994e+02;3.078014e+02;-1.963065e+02;3.859426e+01
0;0;64000;-3.16;-1.785205e+01;-8.362911e+00;6.579451e+01;-2.387235e+02;3.478765e+02;-2.194165e+02;4.108126e+01
0;0;64000;-2.84;-2.503461e+01;1.189602e+01;-1.530012e+02;6.172864e+02;-1.184221e+03;1.029176e+03;-3.371370e+02
0;0;64000;-2.52;-3.078022e+01;2.987562e+01;-3.113775e+02;1.154327e+03;-2.063772e+03;1.714465e+03;-5.444846e+02
0;0;64000;-2.19;-4.002779e+01;7.418138e+01;-7.449691e+02;2.705562e+03;-4.563443e+03;3.537433e+03;-1.046500e+03
